.	11	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	11	14293332	17708606	19569656	32088174	32264814	32359198	36575562	37346190	39679965	43893504	45142276	48984519	49303638	53592500	60095034	65421714	75226351	90961182	400524620
.	12	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	12	14252848	18020744	19882381	31907190	32147526	32281009	36365726	37299220	39672504	43746803	45023728	48790138	49161873	53567188	60034818	65437786	75135290	90709585	400666681
.	13	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	13	14326497	18196965	20123200	32287606	32588860	32802326	36794366	37772540	40313480	44613439	45432326	49180770	49544921	54001556	60501554	65937792	75707317	91087016	400889865
.	14	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	14	14311651	18264517	20317157	32208953	32566024	32857413	36665968	37762777	40548303	44919750	45372029	49077338	49457815	53970162	60377745	65807951	75525770	90882340	400966245
.	15	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	15	14380165	18339570	20380445	32458124	32910472	33311819	36955395	38173260	41146799	45260633	45724784	49391201	49768220	54283207	60757243	66197741	76059198	91384310	401150371
.	16	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	16	14431073	18285671	20272639	32504232	33024465	33614310	37055513	38412498	41618007	45569237	45916434	49562436	49932916	54441038	60986558	66446481	76303680	91767933	401066935
.	17	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	17	14427781	18159807	20153699	32474002	33024121	33801925	36960942	38387109	41779146	45613132	45824461	49444723	49807625	54316427	60814334	66262560	76068871	91716471	401023423
.	18	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	18	14422266	18120593	20164704	32409869	33025690	34049547	36900015	38469108	41877606	45623502	45808349	49365453	49724617	54242734	60732779	66190073	75945492	91506247	400908369
.	19	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	19	14495604	18234274	20282438	32638231	33338331	34678617	37183076	38943628	42295803	46061908	46205518	49725322	50088162	54640562	61171300	66662095	76490363	92103267	401065557
.	20	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	20	14512455	18274474	20362224	32620571	33382220	35090502	37198682	39136702	42337443	46127137	46305085	49775841	50137846	54705105	61257351	66769491	76602131	92291394	401087585
.	21	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	21	14564373	18310889	20363595	32823086	33637565	35743413	37426731	39575160	42581859	46394524	46602858	50012162	50368712	54950620	61530790	67054001	76894076	92560346	401147680
.	22	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	22	14573634	18351939	20376628	32752122	33616904	36129113	37378186	39709602	42556918	46431188	46676717	50006820	50368899	54952510	61558850	67083789	76945615	92661412	401163139
.	23	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	23	14586327	18300420	20369544	32773864	33641520	36553789	37385814	39876185	42550954	46459807	46736985	50023317	50382589	54953850	61553843	67086825	76950442	92654014	401271502
.	24	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	24	14593653	18220345	20316344	32748931	33613095	36872766	37372766	39994139	42541035	46458319	46763610	49997408	50354923	54913206	61524587	67064545	76936745	92688611	401137850
.	25	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	25	14597451	18201849	20317866	32742358	33606691	37092040	37345857	40062088	42510187	46464416	46798102	49978390	50332108	54895545	61510095	67048175	76973245	92777845	401088915
.	26	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	26	14666086	18377620	20485779	33044881	33921972	37561496	37676157	40488814	42889350	46860688	47240012	50402406	50768024	55326915	61992326	67558005	77502920	93374094	401278372
.	27	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	27	14673514	18337172	20428181	32905701	33779055	37493383	37541582	40387272	42823728	46875463	47271530	50434573	50794752	55365020	62047934	67626053	77613962	93456318	401199894
.	28	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	28	14627829	18304807	20393873	32754692	33630638	37342814	37371856	40208275	42582491	46576469	46943421	50090039	50453223	55027428	61715644	67293226	77360955	93321684	401162553
.	29	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	29	14458132	17996564	20006665	31949710	32791381	36423997	36453204	39267726	41701986	45634422	46010891	49067853	49420036	53877881	60464484	65928327	75952266	92064841	400714502
.	30	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	30	14378730	17891477	19904184	31844009	32665899	36243207	36268167	39002470	41314780	45201448	45564863	48620620	48973764	53412251	59930388	65382466	75283770	91093513	400660301
.	31	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	31	14364805	17856735	19881195	31823419	32632613	36196282	36220524	38936298	41246821	45153818	45512660	48571994	48924581	53365729	59850815	65296922	75127153	90797331	400635276
.	32	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	32	14388051	17883116	19952854	31950617	32764820	36334895	36360333	39076874	41375956	45284315	45631344	48699790	49049095	53503537	60010155	65460856	75332947	91009362	400696968
.	33	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	33	14374458	17881165	19940397	31838670	32657315	36211203	36238607	38960780	41268275	45197384	45548447	48607308	48962878	53414090	59942887	65402374	75283362	91000452	400655634
.	34	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	34	14404539	17944641	20044004	32059018	32880019	36440922	36469826	39186759	41462453	45380939	45724420	48804174	49161484	53637918	60161549	65635101	75525483	91179131	400770287
.	35	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	35	14409147	17951709	20057668	32038945	32865673	36443230	36473869	39197668	41480183	45399040	45758353	48835377	49192579	53665172	60197765	65671176	75560890	91230347	400772548
