.	10	6005377	9824626	11985172	26585017	26750543	26824674	31868816	32662213	35324508	40088525	41781171	46338287	46692085	51640656	59315519	65522206	77130160	95491352	457945505
.	11	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	11	6006253	10003849	12182219	26835211	27041969	27152447	32087724	32989748	35721444	40653415	42115108	46612475	46986006	52006142	59617393	65852301	77328681	95746386	458092064
.	12	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	12	5967735	10378036	12557071	26632041	26913353	27069594	31850731	32943380	35721296	40490239	41984873	46393435	46828548	51984943	59555267	65879410	77230283	95459905	458262899
.	13	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	13	5981999	10512372	12767027	27005433	27358050	27607912	32280585	33425535	36399698	41432790	42391294	46778840	47205077	52421557	60029789	66392892	77828097	95829996	458453456
.	14	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	14	5966623	10593456	12996073	26915434	27333386	27674457	32132375	33416191	36676652	41793436	42322829	46659897	47105246	52386953	59887036	66243099	77617816	95592698	458546253
.	15	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	15	5991277	10625777	13014630	27151601	27681077	28150855	32415675	33841192	37321731	42136990	42680281	46971837	47413139	52697949	60275835	66643960	78186836	96124942	458707373
.	16	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	16	6022526	10534334	12860081	27177162	27786095	28476509	32504438	34092789	37844837	42469753	42876148	47143793	47577441	52854199	60515732	66906572	78444425	96545337	458579885
.	17	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	17	6029072	10397404	12731252	27152153	27796067	28706486	32404111	34073439	38043814	42531490	42778850	47016363	47441139	52718687	60324480	66701623	78179899	96495397	458538838
.	18	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	18	6027801	10356687	12749314	27082257	27803074	29001497	32337964	34174584	38164225	42548788	42765151	46928735	47349136	52637583	60234168	66621922	78040620	96254454	458409050
.	19	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	19	6052492	10428596	12825967	27288395	28107860	29676661	32608125	34668847	38592560	43000776	43168872	47288794	47713498	53042071	60686285	67113247	78617213	96892080	458531721
.	20	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	20	6057223	10460659	12904366	27252733	28144242	30143782	32611402	34879850	38626310	43062138	43270426	47332938	47756664	53102630	60772019	67223968	78733050	97097297	458542544
.	21	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	21	6076993	10462282	12864971	27448778	28402125	30867015	32837335	35352067	38871402	43334118	43577972	47568556	47985897	53349011	61051086	67515993	79033780	97371116	458571945
.	22	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	22	6081064	10503563	12873459	27358955	28371181	31311717	32773755	35502674	38835453	43370280	43657671	47555551	47979364	53344474	61077184	67544117	79087368	97482685	458583468
.	23	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	23	6088378	10435733	12857648	27376937	28392530	31801348	32775235	35690222	38821046	43396367	43720805	47567466	47987994	53338667	61063975	67540344	79085734	97466805	458704357
.	24	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	24	6096965	10342016	12795387	27347756	28359262	32174714	32759964	35828287	38809434	43394623	43751967	47537134	47955606	53291085	61029720	67514253	79069683	97507276	458547746
.	25	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	25	6099530	10318471	12795267	27338113	28349814	32429409	32726501	35905845	38771341	43399759	43790338	47512860	47926887	53268381	61010702	67493015	79110293	97609551	458487146
.	26	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	26	6116369	10460716	12928314	27628729	28655364	32915423	33049633	36341845	39151670	43800117	44244115	47945695	48373649	53709827	61511683	68026304	79666817	98244009	458645639
.	27	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	27	6128222	10416535	12864062	27469006	28491267	32838890	32895307	36226189	39078062	43820620	44284217	47986560	48408150	53757651	61580005	68109197	79800050	98343536	458557559
.	28	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	28	6109651	10413558	12858812	27327165	28352462	32697567	32731561	36051593	38830615	43505571	43935090	47618210	48043317	53397429	61225995	67754561	79538849	98220902	458549010
